history_sequence,user_prompt,user_intent,candidate_endpoint,candidate_http_method,candidate_has_path_parameters,candidate_has_query_parameters,candidate_requires_request_body,candidate_path_depth,candidate_summary,next_call_user_made,llm_reason_for_candidate,is_actual_next_call
"GET /users/{id}/permissions","Grant admin access to this user.","User is viewing user permissions and wants to elevate a user's role.","/users/{id}/permissions","GET",TRUE,TRUE,FALSE,3,"Retrieves user permissions.",/users/{id}/permissions/admin,"User wants to *grant*, not just view.",0
"GET /users/{id}/permissions","Grant admin access to this user.","User is viewing user permissions and wants to elevate a user's role.","/roles","POST",FALSE,FALSE,TRUE,1,"Creates a new role.",/users/{id}/permissions/admin,"Creating roles is different from assigning permissions.",0
"GET /users/{id}/permissions","Grant admin access to this user.","User is viewing user permissions and wants to elevate a user's role.","/audit_logs","GET",FALSE,TRUE,FALSE,1,"Retrieves system audit logs.",/users/{id}/permissions/admin,"Irrelevant.",0
"POST /email_templates","Create a new marketing email template.","User wants to design a new reusable email template for campaigns.","/email_templates","POST",FALSE,FALSE,TRUE,1,"Creates a new email template.",/email_templates,"Directly matches 'create a new email template'.",1
"POST /email_templates","Create a new marketing email template.","User wants to design a new reusable email template for campaigns.","/emails","POST",FALSE,FALSE,TRUE,1,"Creates a new email.",/email_templates,"User wants a *template*, not an email.",0
"POST /email_templates","Create a new marketing email template.","User wants to design a new reusable email template for campaigns.","/campaigns","POST",FALSE,FALSE,TRUE,1,"Creates a new marketing campaign.",/email_templates,"Campaign creation is different from template creation.",0
"POST /email_templates","Create a new marketing email template.","User wants to design a new reusable email template for campaigns.","/assets","POST",FALSE,FALSE,TRUE,1,"Uploads digital assets.",/email_templates,"Assets are components, not the template itself.",0
"GET /notifications/settings","I want to mute all desktop notifications.","User is viewing notification settings and wants to disable desktop alerts.","/notifications/settings/desktop","PUT",FALSE,FALSE,TRUE,3,"Updates desktop notification settings.",/notifications/settings/desktop,"Matches intent to mute desktop notifications.",1
"GET /notifications/settings","I want to mute all desktop notifications.","User is viewing notification settings and wants to disable desktop alerts.","/notifications/settings/email","PUT",FALSE,FALSE,TRUE,3,"Updates email notification settings.",/notifications/settings/desktop,"Specific to email, not desktop.",0
"GET /notifications/settings","I want to mute all desktop notifications.","User is viewing notification settings and wants to disable desktop alerts.","/notifications","GET",FALSE,TRUE,FALSE,1,"Lists all notifications.",/notifications/settings/desktop,"User wants to change settings, not list notifications.",0
"GET /notifications/settings","I want to mute all desktop notifications.","User is viewing notification settings and wants to disable desktop alerts.","/users/{id}/profile","PUT",TRUE,FALSE,TRUE,3,"Updates user profile.",/notifications/settings/desktop,"Irrelevant.",0
"GET /billing/cycles","Run billing for the current period.","User is viewing billing cycles and wants to trigger the billing process for the active cycle.","/billing/cycles/run","POST",FALSE,FALSE,FALSE,3,"Triggers the billing process for the current period.",/billing/cycles/run,"Directly matches 'run billing'.",1
"GET /billing/cycles","Run billing for the current period.","User is viewing billing cycles and wants to trigger the billing process for the active cycle.","/billing/cycles","POST",FALSE,FALSE,TRUE,2,"Creates a new billing cycle.",/billing/cycles/run,"User wants to run *current*, not create new cycle.",0
"GET /billing/cycles","Run billing for the current period.","User is viewing billing cycles and wants to trigger the billing process for the active cycle.","/invoices","POST",FALSE,FALSE,TRUE,1,"Creates a new invoice.",/billing/cycles/run,"Invoice creation is a result, not the 'run billing' action.",0
"GET /billing/cycles","Run billing for the current period.","User is viewing billing cycles and wants to trigger the billing process for the active cycle.","/transactions","GET",FALSE,TRUE,FALSE,1,"Lists all transactions.",/billing/cycles/run,"Listing transactions is different from running billing.",0
"GET /forms","I need to create a new survey form.","User wants to build a new survey or data collection form.","/forms","POST",FALSE,FALSE,TRUE,1,"Creates a new form.",/forms,"Directly matches 'create a new survey form'.",1
"GET /forms","I need to create a new survey form.","User wants to build a new survey or data collection form.","/forms/{id}/responses","GET",TRUE,TRUE,FALSE,3,"Retrieves responses for a form.",/forms,"User is creating, not viewing responses.",0
"GET /forms","I need to create a new survey form.","User wants to build a new survey or data collection form.","/templates/forms","GET",FALSE,TRUE,FALSE,2,"Lists form templates.",/forms,"May be a step before, but user explicitly wants to 'create'.",0
"GET /forms","I need to create a new survey form.","User wants to build a new survey or data collection form.","/submissions","POST",FALSE,FALSE,TRUE,1,"Submits data to a form.",/forms,"Submitting data to a form is different from creating a form.",0
"POST /payments/refunds","I need to process a refund for a recent payment.","User wants to refund a payment that was previously made.","/payments/{id}/refund","POST",TRUE,FALSE,TRUE,3,"Initiates a refund for a specific payment.",/payments/{id}/refund,"Directly matches 'process a refund'.",1
"POST /payments/refunds","I need to process a refund for a recent payment.","User wants to refund a payment that was previously made.","/payments","GET",FALSE,TRUE,FALSE,1,"Lists all payments.",/payments/{id}/refund,"User wants to *process* a refund, not list payments.",0
"POST /payments/refunds","I need to process a refund for a recent payment.","User wants to refund a payment that was previously made.","/payments/{id}/capture","POST",TRUE,FALSE,FALSE,3,"Captures an authorized payment.",/payments/{id}/refund,"Opposite action (refund vs. capture).",0
"POST /payments/refunds","I need to process a refund for a recent payment.","User wants to refund a payment that was previously made.","/disputes","POST",FALSE,FALSE,TRUE,1,"Creates a new payment dispute.",/payments/{id}/refund,"Disputes are different from direct refunds.",0
"GET /releases","Rollback to the previous version.","User has viewed releases and wants to revert to an older version.","/releases/{id}/rollback","POST",TRUE,FALSE,FALSE,3,"Initiates a rollback to a previous release.",/releases/{id}/rollback,"Directly matches 'rollback to previous version'.",1
"GET /releases","Rollback to the previous version.","User has viewed releases and wants to revert to an older version.","/releases/{id}/deploy","POST",TRUE,FALSE,FALSE,3,"Deploys a specific release.",/releases/{id}/rollback,"Deploy is forward, not rollback.",0
"GET /releases","Rollback to the previous version.","User has viewed releases and wants to revert to an older version.","/deployments","GET",FALSE,TRUE,FALSE,1,"Lists all deployments.",/releases/{id}/rollback,"Listing deployments is different from rollback.",0
"GET /releases","Rollback to the previous version.","User has viewed releases and wants to revert to an older version.","/builds","GET",FALSE,TRUE,FALSE,1,"Lists all application builds.",/releases/{id}/rollback,"Irrelevant.",0
"POST /users/{id}/sessions","Force this user to log out.","User is viewing user sessions and wants to terminate one.","/users/{id}/sessions/{session_id}","DELETE",TRUE,FALSE,FALSE,4,"Terminates a specific user session.",/users/{id}/sessions/{session_id},"Directly matches 'force log out'.",1
"POST /users/{id}/sessions","Force this user to log out.","User is viewing user sessions and wants to terminate one.","/users/{id}/password","PUT",TRUE,FALSE,TRUE,3,"Resets user password.",/users/{id}/sessions/{session_id},"Password reset is different from session termination.",0
"POST /users/{id}/sessions","Force this user to log out.","User is viewing user sessions and wants to terminate one.","/sessions","GET",FALSE,TRUE,FALSE,1,"Lists all sessions.",/users/{id}/sessions/{session_id},"User wants to delete a specific session, not list all.",0
"POST /users/{id}/sessions","Force this user to log out.","User is viewing user sessions and wants to terminate one.","/users/{id}/activity","GET",TRUE,TRUE,FALSE,3,"Retrieves user activity.",/users/{id}/sessions/{session_id},"Viewing activity is different.",0
"GET /audit_logs; GET /audit_logs/users","I need to see changes made by a specific admin.","User is viewing audit logs and wants to filter by a specific administrator.","/audit_logs","GET",FALSE,TRUE,FALSE,1,"Retrieves audit logs, filtered by user.",/audit_logs,"User wants to filter the existing logs.",1
"GET /audit_logs; GET /audit_logs/users","I need to see changes made by a specific admin.","User is viewing audit logs and wants to filter by a specific administrator.","/audit_logs","POST",FALSE,FALSE,TRUE,1,"Creates a new audit log entry (less common).",/audit_logs,"User wants to retrieve, not create.",0
"GET /audit_logs; GET /audit_logs/users","I need to see changes made by a specific admin.","User is viewing audit logs and wants to filter by a specific administrator.","/users/{id}/history","GET",TRUE,TRUE,FALSE,2,"Retrieves a user's general history.",/audit_logs,"Too general, user wants *audit* changes.",0
"GET /audit_logs; GET /audit_logs/users","I need to see changes made by a specific admin.","User is viewing audit logs and wants to filter by a specific administrator.","/admin/activity","GET",FALSE,TRUE,FALSE,2,"Retrieves general admin activity.",/audit_logs,"More general admin activity, not specific audit logs.",0
"POST /projects/{id}/tasks","Assign this new task to John Doe.","User has created a task within a project and now wants to assign it to a specific person.","/tasks/{id}/assign","PUT",TRUE,FALSE,TRUE,3,"Assigns a task to a user.",/tasks/{id}/assign,"Follow-up to task creation is often assignment.",1
"POST /projects/{id}/tasks","Assign this new task to John Doe.","User has created a task within a project and now wants to assign it to a specific person.","/tasks/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves details of a task.",/tasks/{id}/assign,"User wants to assign, not just view.",0
"POST /projects/{id}/tasks","Assign this new task to John Doe.","User has created a task within a project and now wants to assign it to a specific person.","/users","GET",FALSE,TRUE,FALSE,1,"Lists all users.",/tasks/{id}/assign,"Might be a step before assignment, but 'assign' is more direct.",0
"POST /projects/{id}/tasks","Assign this new task to John Doe.","User has created a task within a project and now wants to assign it to a specific person.","/projects/{id}/members","POST",TRUE,FALSE,TRUE,3,"Adds a member to a project.",/tasks/{id}/assign,"Adding a member to project is different than assigning a task.",0
"GET /dashboard","Show me today's sales performance.","User wants to view a summary of sales data for the current day.","/dashboard/sales","GET",FALSE,TRUE,FALSE,2,"Retrieves today's sales performance metrics for the dashboard.",/dashboard/sales,"Directly matches 'today's sales performance'.",1
"GET /dashboard","Show me today's sales performance.","User wants to view a summary of sales data for the current day.","/dashboard/users","GET",FALSE,TRUE,FALSE,2,"Retrieves user activity metrics for the dashboard.",/dashboard/sales,"User asked for 'sales', not 'users'.",0
"GET /dashboard","Show me today's sales performance.","User wants to view a summary of sales data for the current day.","/reports/sales","GET",FALSE,TRUE,FALSE,2,"Generates a sales report.",/dashboard/sales,"User asked for dashboard view, not a report.",0
"GET /dashboard","Show me today's sales performance.","User wants to view a summary of sales data for the current day.","/metrics","GET",FALSE,TRUE,FALSE,1,"Retrieves raw metrics.",/dashboard/sales,"Too general, user wants a dashboard summary.",0
"POST /users","Deactivate this user account.","User created a user and now wants to disable it.","/users/{id}/deactivate","POST",TRUE,FALSE,FALSE,3,"Deactivates a user account.",/users/{id}/deactivate,"Matches 'deactivate this user account'.",1
"POST /users","Deactivate this user account.","User created a user and now wants to disable it.","/users/{id}","DELETE",TRUE,FALSE,FALSE,2,"Deletes a user account.",/users/{id}/deactivate,"Deactivate is softer than delete.",0
"POST /users","Deactivate this user account.","User created a user and now wants to disable it.","/users/{id}/status","PUT",TRUE,FALSE,TRUE,3,"Updates user status (e.g., active/inactive).",/users/{id}/deactivate,"Similar, but 'deactivate' often implies a specific endpoint.",0
"POST /users","Deactivate this user account.","User created a user and now wants to disable it.","/audit_logs","POST",FALSE,FALSE,TRUE,1,"Logs an audit event.",/users/{id}/deactivate,"Unrelated.",0
"GET /feedback","I want to leave a suggestion for new features.","User is viewing feedback and wants to submit a new feature request.","/feedback/suggestions","POST",FALSE,FALSE,TRUE,2,"Submits a new feature suggestion.",/feedback/suggestions,"Directly matches 'leave a suggestion for new features'.",1
"GET /feedback","I want to leave a suggestion for new features.","User is viewing feedback and wants to submit a new feature request.","/feedback/bugs","POST",FALSE,FALSE,TRUE,2,"Submits a new bug report.",/feedback/suggestions,"User wants feature suggestion, not bug report.",0
"GET /feedback","I want to leave a suggestion for new features.","User is viewing feedback and wants to submit a new feature request.","/feedback","GET",FALSE,TRUE,FALSE,1,"Lists all feedback.",/feedback/suggestions,"User wants to submit, not view existing.",0
"GET /feedback","I want to leave a suggestion for new features.","User is viewing feedback and wants to submit a new feature request.","/support_tickets","POST",FALSE,FALSE,TRUE,1,"Creates a new support ticket.",/feedback/suggestions,"Suggestion is different from a support ticket.",0
"POST /email_verification","Resend verification email to this user.","User intends to re-trigger the email verification process for a user.","/email_verification/{id}/resend","POST",TRUE,FALSE,FALSE,3,"Resends a verification email for a user.",/email_verification/{id}/resend,"Matches 'resend verification email'.",1
"POST /email_verification","Resend verification email to this user.","User intends to re-trigger the email verification process for a user.","/email_verification/{id}/confirm","POST",TRUE,FALSE,TRUE,3,"Confirms a user's email verification.",/email_verification/{id}/resend,"User wants to resend, not confirm.",0
"POST /email_verification","Resend verification email to this user.","User intends to re-trigger the email verification process for a user.","/users/{id}/email","PUT",TRUE,FALSE,TRUE,3,"Updates a user's email address.",/email_verification/{id}/resend,"Updating email is different from resending verification.",0
"POST /email_verification","Resend verification email to this user.","User intends to re-trigger the email verification process for a user.","/notifications/email","POST",FALSE,FALSE,TRUE,2,"Sends a general email notification.",/email_verification/{id}/resend,"Too general, not specific to verification.",0
"GET /integrations/{id}","Disable this integration.","User is viewing a specific integration and wants to deactivate it.","/integrations/{id}/disable","POST",TRUE,FALSE,FALSE,3,"Disables a specific integration.",/integrations/{id}/disable,"Matches 'disable this integration'.",1
"GET /integrations/{id}","Disable this integration.","User is viewing a specific integration and wants to deactivate it.","/integrations/{id}","DELETE",TRUE,FALSE,FALSE,2,"Deletes an integration.",/integrations/{id}/disable,"Disable is softer than delete.",0
"GET /integrations/{id}","Disable this integration.","User is viewing a specific integration and wants to deactivate it.","/integrations/{id}","PUT",TRUE,FALSE,TRUE,2,"Updates an integration's settings.",/integrations/{id}/disable,"User wants to disable, not update.",0
"GET /integrations/{id}","Disable this integration.","User is viewing a specific integration and wants to deactivate it.","/events","GET",FALSE,TRUE,FALSE,1,"Lists all events.",/integrations/{id}/disable,"Irrelevant.",0
"POST /users/{id}/profile_image","Upload a new user profile image.","User is updating their profile and wants to set a new image.","/users/{id}/profile_image","POST",TRUE,FALSE,TRUE,3,"Uploads a new profile image for a user.",/users/{id}/profile_image,"Matches 'upload a new user profile image'.",1
"POST /users/{id}/profile_image","Upload a new user profile image.","User is updating their profile and wants to set a new image.","/users/{id}","PUT",TRUE,FALSE,TRUE,2,"Updates general user profile.",/users/{id}/profile_image,"Too general, user wants specific image upload.",0
"POST /users/{id}/profile_image","Upload a new user profile image.","User is updating their profile and wants to set a new image.","/images","POST",FALSE,FALSE,TRUE,1,"Uploads a general image.",/users/{id}/profile_image,"Too generic, user specified 'profile image'.",0
"POST /users/{id}/profile_image","Upload a new user profile image.","User is updating their profile and wants to set a new image.","/photos","POST",FALSE,FALSE,TRUE,1,"Uploads a general photo.",/users/{id}/profile_image,"Too generic, user specified 'profile image'.",0
"GET /settings/security","Change security preferences.","User is viewing security settings and wants to modify them.","/settings/security","PUT",FALSE,FALSE,TRUE,2,"Updates general security settings.",/settings/security,"Matches 'change security preferences'.",1
"GET /settings/security","Change security preferences.","User is viewing security settings and wants to modify them.","/settings/security/factors","GET",FALSE,TRUE,FALSE,3,"Lists multi-factor authentication factors.",/settings/security,"Specific to MFA, not general preferences.",0
"GET /settings/security","Change security preferences.","User is viewing security settings and wants to modify them.","/password_policies","GET",FALSE,TRUE,FALSE,1,"Lists password policies.",/settings/security,"Policies are different from user preferences.",0
"GET /settings/security","Change security preferences.","User is viewing security settings and wants to modify them.","/audit_logs","GET",FALSE,TRUE,FALSE,1,"Retrieves audit logs.",/settings/security,"Unrelated.",0
"POST /leads","Qualify this lead.","User has created a lead and wants to mark it as qualified.","/leads/{id}/qualify","POST",TRUE,FALSE,FALSE,3,"Marks a lead as qualified.",/leads/{id}/qualify,"Directly matches 'qualify this lead'.",1
"POST /leads","Qualify this lead.","User has created a lead and wants to mark it as qualified.","/leads/{id}/disqualify","POST",TRUE,FALSE,FALSE,3,"Marks a lead as disqualified.",/leads/{id}/qualify,"Opposite action.",0
"POST /leads","Qualify this lead.","User has created a lead and now wants to mark it as qualified.","/opportunities","POST",FALSE,FALSE,TRUE,1,"Creates a new sales opportunity.",/leads/{id}/qualify,"Opportunity comes *after* qualifying the lead.",0
"POST /leads","Qualify this lead.","User has created a lead and now wants to mark it as qualified.","/contacts","GET",FALSE,TRUE,FALSE,1,"Lists contacts.",/leads/{id}/qualify,"Irrelevant.",0
"GET /users; POST /users/{id}/activity","I need to block this user.","User is reviewing activity and wants to prevent a user from further interaction.","/users/{id}/block","POST",TRUE,FALSE,FALSE,3,"Blocks a user account.",/users/{id}/block,"Directly matches 'block this user'.",1
"GET /users; POST /users/{id}/activity","I need to block this user.","User is reviewing activity and wants to prevent a user from further interaction.","/users/{id}","DELETE",TRUE,FALSE,FALSE,2,"Deletes a user account.",/users/{id}/block,"Blocking is often reversible, deletion is not.",0
"GET /users; POST /users/{id}/activity","I need to block this user.","User is reviewing activity and wants to prevent a user from further interaction.","/users/{id}/deactivate","POST",TRUE,FALSE,FALSE,3,"Deactivates a user account.",/users/{id}/block,"Deactivate is softer than block, less immediate control.",0
"GET /users; POST /users/{id}/activity","I need to block this user.","User is reviewing activity and wants to prevent a user from further interaction.","/reports/abuse","POST",FALSE,FALSE,TRUE,2,"Submits an abuse report.",/users/{id}/block,"Reporting is different from taking action.",0
"POST /campaigns","Send out this email campaign.","User has created a campaign and now wants to initiate its delivery.","/campaigns/{id}/send","POST",TRUE,FALSE,FALSE,3,"Initiates the sending of a specific email campaign.",/campaigns/{id}/send,"Directly matches 'send out this email campaign'.",1
"POST /campaigns","Send out this email campaign.","User has created a campaign and now wants to initiate its delivery.","/campaigns/{id}","PUT",TRUE,FALSE,TRUE,2,"Updates a campaign.",/campaigns/{id}/send,"User wants to send, not update.",0
"POST /campaigns","Send out this email campaign.","User has created a campaign and now wants to initiate its delivery.","/campaigns/drafts","GET",FALSE,TRUE,FALSE,2,"Lists draft campaigns.",/campaigns/{id}/send,"User is sending, not viewing drafts.",0
"POST /campaigns","Send out this email campaign.","User has created a campaign and now wants to initiate its delivery.","/emails","GET",FALSE,TRUE,FALSE,1,"Lists emails.",/campaigns/{id}/send,"Too general, user specified 'campaign'.",0
"GET /files; GET /files/{id}","Convert this file to PDF.","User is viewing a file and wants to transform its format.","/files/{id}/convert","POST",TRUE,FALSE,TRUE,3,"Converts a file to a different format.",/files/{id}/convert,"Matches 'convert this file to PDF'.",1
"GET /files; GET /files/{id}","Convert this file to PDF.","User is viewing a file and wants to transform its format.","/files/{id}","PUT",TRUE,FALSE,TRUE,2,"Updates file content.",/files/{id}/convert,"User wants to convert, not update content.",0
"GET /files; GET /files/{id}","Convert this file to PDF.","User is viewing a file and wants to transform its format.","/exports","POST",FALSE,FALSE,TRUE,1,"Initiates a data export.",/files/{id}/convert,"Broader export, not specific file conversion.",0
"GET /files; GET /files/{id}","Convert this file to PDF.","User is viewing a file and wants to transform its format.","/file_types","GET",FALSE,TRUE,FALSE,1,"Lists supported file types.",/files/{id}/convert,"Irrelevant.",0
"POST /notifications/push","Send a push notification to my device.","User wants to trigger a push notification for their device.","/notifications/push","POST",FALSE,FALSE,TRUE,2,"Sends a push notification.",/notifications/push,"Directly matches 'send a push notification'.",1
"POST /notifications/push","Send a push notification to my device.","User wants to trigger a push notification for their device.","/notifications","POST",FALSE,FALSE,TRUE,1,"Sends a general notification.",/notifications/push,"User specified 'push notification'.",0
"POST /notifications/push","Send a push notification to my device.","User wants to trigger a push notification for their device.","/devices/{id}/notifications","GET",TRUE,TRUE,FALSE,3,"Lists device notifications.",/notifications/push,"User wants to send, not list.",0
"POST /notifications/push","Send a push notification to my device.","User wants to trigger a push notification for their device.","/users/{id}/messages","POST",TRUE,FALSE,TRUE,3,"Sends a message to a user.",/notifications/push,"Different communication method.",0
"GET /roles","Create a new custom role.","User is viewing roles and wants to define a new role.","/roles","POST",FALSE,FALSE,TRUE,1,"Creates a new user role.",/roles,"Directly matches 'create a new custom role'.",1
"GET /roles","Create a new custom role.","User is viewing roles and wants to define a new role.","/roles/{id}/permissions","PUT",TRUE,FALSE,TRUE,3,"Updates permissions for a role.",/roles,"User wants to create role, not update permissions.",0
"GET /roles","Create a new custom role.","User is viewing roles and new wants to define a new role.","/users/{id}/roles","PUT",TRUE,FALSE,TRUE,3,"Assigns roles to a user.",/roles,"Assigning role is different from creating a role.",0
"GET /roles","Create a new custom role.","User is viewing roles and wants to define a new role.","/permissions","GET",FALSE,TRUE,FALSE,1,"Lists all permissions.",/roles,"May be a step before, but user explicitly wants to 'create role'.",0
"POST /api_integrations","","User just onboarded an API integration and needs to test it.","/api_integrations/{id}/test","POST",TRUE,FALSE,FALSE,3,"Runs a test on a specific API integration.",/api_integrations/{id}/test,"Common next step after integration setup is testing.",1
"POST /api_integrations","","User just onboarded an API integration and needs to test it.","/api_integrations/{id}/logs","GET",TRUE,TRUE,FALSE,3,"Retrieves logs for an integration.",/api_integrations/{id}/test,"Logs are for debugging, testing is for verification.",0
"POST /api_integrations","","User just onboarded an API integration and needs to test it.","/api_keys","POST",FALSE,FALSE,TRUE,1,"Generates an API key.",/api_integrations/{id}/test,"API keys are credentials, not the integration test.",0
"POST /api_integrations","","User just onboarded an API integration and needs to test it.","/webhooks","POST",FALSE,FALSE,TRUE,1,"Creates a new webhook.",/api_integrations/{id}/test,"Webhooks are a separate integration feature.",0
"GET /notifications","Mark all as read.","User is viewing notifications and wants to clear all unread statuses.","/notifications/mark_all_read","POST",FALSE,FALSE,FALSE,2,"Marks all notifications as read.",/notifications/mark_all_read,"Directly matches 'mark all as read'.",1
"GET /notifications","Mark all as read.","User is viewing notifications and wants to clear all unread statuses.","/notifications/{id}","DELETE",TRUE,FALSE,FALSE,2,"Deletes a specific notification.",/notifications/mark_all_read,"User wants to mark *all* as read, not delete one.",0
"GET /notifications","Mark all as read.","User is viewing notifications and wants to clear all unread statuses.","/notifications","POST",FALSE,FALSE,TRUE,1,"Sends a new notification.",/notifications/mark_all_read,"Opposite action.",0
"GET /notifications","Mark all as read.","User is viewing notifications and wants to clear all unread statuses.","/activity_feed","GET",FALSE,TRUE,FALSE,1,"Retrieves user activity feed.",/notifications/mark_all_read,"Irrelevant.",0
"GET /assets","Upload a new asset (image, video, file).","User is viewing existing assets and wants to add a new one.","/assets","POST",FALSE,FALSE,TRUE,1,"Uploads a new digital asset.",/assets,"Directly matches 'upload a new asset'.",1
"GET /assets","Upload a new asset (image, video, file).","User is viewing existing assets and wants to add a new one.","/assets/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves details of a specific asset.",/assets,"User is uploading, not viewing.",0
"GET /assets","Upload a new asset (image, video, file).","User is viewing existing assets and wants to add a new one.","/images","POST",FALSE,FALSE,TRUE,1,"Uploads a general image.",/assets,"Too specific if /assets is general.",0
"GET /assets","Upload a new asset (image, video, file).","User is viewing existing assets and wants to add a new one.","/folders","POST",FALSE,FALSE,TRUE,1,"Creates a new folder.",/assets,"Creating a folder is different from uploading an asset.",0
"GET /billing/history","Export billing transactions for Q3.","User wants to download a file containing past billing transactions.","/billing/history/export","GET",FALSE,TRUE,FALSE,3,"Exports billing transaction history.",/billing/history/export,"Directly matches 'export billing transactions'.",1
"POST /documents","Rename this document.","User created a document and wants to change its name.","/tags","POST",FALSE,FALSE,TRUE,1,"Adds tags to content.",/documents/{id},"Adding tags is different from renaming.",0
"GET /support/tickets","Assign this ticket to a specialist.","User is viewing support tickets and wants to route one to an agent.","/support/tickets/{id}/assign","PUT",TRUE,FALSE,TRUE,4,"Assigns a support ticket to a specialist.",/support/tickets/{id}/assign,"Directly matches 'assign this ticket'.",1
"GET /support/tickets","Assign this ticket to a specialist.","User is viewing support tickets and wants to route one to an agent.","/support/tickets/{id}/status","PUT",TRUE,FALSE,TRUE,4,"Updates a ticket's status.",/support/tickets/{id}/assign,"User wants to assign, not just change status.",0
"GET /support/tickets","Assign this ticket to a specialist.","User is viewing support tickets and wants to route one to an agent.","/agents","GET",FALSE,TRUE,FALSE,1,"Lists support agents.",/support/tickets/{id}/assign,"Might be preliminary step, but 'assign' is direct.",0
"GET /support/tickets","Assign this ticket to a specialist.","User is viewing support tickets and wants to route one to an agent.","/queues","GET",FALSE,TRUE,FALSE,1,"Lists support queues.",/support/tickets/{id}/assign,"Queues are general, user wants to assign a ticket.",0
"POST /users/{id}/2fa","Enable two-factor authentication for this user.","User is managing a user's settings and wants to activate 2FA.","/users/{id}/2fa","POST",TRUE,FALSE,FALSE,3,"Enables two-factor authentication for a user.",/users/{id}/2fa,"Directly matches 'enable two-factor authentication'.",1
"POST /users/{id}/2fa","Enable two-factor authentication for this user.","User is managing a user's settings and wants to activate 2FA.","/users/{id}/2fa","DELETE",TRUE,FALSE,FALSE,3,"Disables two-factor authentication for a user.",/users/{id}/2fa,"Opposite action.",0
"POST /users/{id}/2fa","Enable two-factor authentication for this user.","User is managing a user's settings and wants to activate 2FA.","/users/{id}/security","PUT",TRUE,FALSE,TRUE,3,"Updates general user security settings.",/users/{id}/2fa,"Too general, user wants specific 2FA action.",0
"POST /users/{id}/2fa","Enable two-factor authentication for this user.","User is managing a user's settings and wants to activate 2FA.","/api_keys","GET",FALSE,TRUE,FALSE,1,"Lists API keys.",/users/{id}/2fa,"Irrelevant.",0
"GET /billing/history","Export billing transactions for Q3.","User wants to download a file containing past billing transactions.","/billing/invoices","GET",FALSE,TRUE,FALSE,2,"Lists invoices.",/billing/history/export,"Invoices are part of billing history, but 'export' is specific.",0
"GET /billing/history","Export billing transactions for Q3.","User wants to download a file containing past billing transactions.","/reports/financial","GET",FALSE,TRUE,FALSE,2,"Generates a financial report.",/billing/history/export,"Report is different from raw transaction export.",0
"POST /customers","I need to set up billing for this new customer.","User wants to add a payment method for a newly created customer.","/payment_methods","POST",FALSE,FALSE,TRUE,1,"Creates a new payment method.",/payment_methods,"Intent strongly points to creating billing; common follow-up to customer creation.",1
"POST /customers","I need to set up billing for this new customer.","User wants to add a payment method for a newly created customer.","/customers/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves customer details.",/payment_methods,"Related, but not directly addressing 'set up billing'.",0
"POST /customers","I need to set up billing for this new customer.","User wants to add a payment method for a newly created customer.","/subscriptions","POST",FALSE,FALSE,TRUE,1,"Creates a new subscription.",/payment_methods,"Likely next after payment method, but user hasn't set one up yet.",0
"POST /customers","I need to set up billing for this new customer.","User wants to add a payment method for a newly created customer.","/invoices","GET",FALSE,FALSE,FALSE,1,"Lists all invoices.",/payment_methods,"Unrelated to setting up new billing for a customer.",0
"GET /products; GET /products/{id}","I want to purchase this product.","User intends to buy the viewed product, likely by adding it to a cart.","/carts","POST",FALSE,FALSE,TRUE,1,"Adds an item to the shopping cart.",/carts,"Prompt and history indicate intent to proceed with purchase.",1
"GET /products; GET /products/{id}","I want to purchase this product.","User intends to buy the viewed product, likely by adding it to a cart.","/products","POST",FALSE,FALSE,TRUE,1,"Creates a new product.",/carts,"User is buying, not creating products.",0
"GET /products; GET /products/{id}","I want to purchase this product.","User intends to buy the viewed product, likely by adding it to a cart.","/orders","GET",FALSE,TRUE,FALSE,1,"Lists previous orders.",/carts,"Checking past orders is not the current intent.",0
"GET /products; GET /products/{id}","I want to purchase this product.","User intends to buy the viewed product, likely by adding it to a cart.","/users/{id}/addresses","PUT",TRUE,FALSE,TRUE,3,"Updates user address.",/carts,"Not directly related to product purchase flow.",0
"GET /invoices; GET /invoices/{id}","Settle this invoice immediately.","User wants to process payment for the specified invoice.","/invoices/{id}/pay","POST",TRUE,FALSE,FALSE,3,"Processes payment for an invoice.",/invoices/{id}/pay,"Directly addresses the prompt to 'settle this invoice'.",1
"GET /invoices; GET /invoices/{id}","Settle this invoice immediately.","User wants to process payment for the specified invoice.","/invoices/{id}","PUT",TRUE,FALSE,TRUE,2,"Updates an invoice.",/invoices/{id}/pay,"User wants to pay, not modify the invoice details.",0
"GET /invoices; GET /invoices/{id}","Settle this invoice immediately.","User wants to process payment for the specified invoice.","/payments","POST",FALSE,FALSE,TRUE,1,"Creates a new payment.",/invoices/{id}/pay,"More general payment creation, not specifically for an invoice.",0
"GET /invoices; GET /invoices/{id}","Settle this invoice immediately.","User wants to process payment for the specified invoice.","/refunds","POST",FALSE,FALSE,TRUE,1,"Initiates a refund.",/invoices/{id}/pay,"Opposite of desired action.",0
